,Accuracy,ROC AUC,Precision,Recall,F1,Top Feature
Random Forest,0.6585365853658537,0.6406689453125001,0.6311475409836066,0.30078125,0.4074074074074074,ph
XGBoost,0.6417682926829268,0.642802734375,0.5573770491803278,0.3984375,0.4646924829157175,ph
SVM,0.6097560975609756,0.529814453125,0.0,0.0,0.0,
Gradient Boosting,0.6524390243902439,0.6285791015625,0.6428571428571429,0.24609375,0.3559322033898305,ph
HistGradientBoosting,0.6646341463414634,0.643427734375,0.6097560975609756,0.390625,0.47619047619047616,
